date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:27	20139/20139	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:26%20GMT	https://www.warpedcigars.com/blog	D:/Desktop/Dela%20Divine/www.warpedcigars.com/blog.html	(from https://www.warpedcigars.com/)
12:16:27	224/224	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:27%20GMT	http://www.warpedcigars.com/legal-terms	D:/Desktop/Dela%20Divine/www.warpedcigars.com/legal-terms	(from https://www.warpedcigars.com/)
12:16:28	20280/20280	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:27%20GMT	https://www.warpedcigars.com/legal-terms	D:/Desktop/Dela%20Divine/www.warpedcigars.com/legal-terms.html	(from https://www.warpedcigars.com/)
12:16:29	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	D:/Desktop/Dela%20Divine/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.warpedcigars.com/)
12:16:29	2532/2532	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494c-9e4%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.4.1/jquery.easing.min.js	D:/Desktop/Dela%20Divine/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.4.1/jquery.easing.min.js	(from https://www.warpedcigars.com/)
12:16:31	7422/7422	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca3b4e8-1cfe%22	https://cdnjs.cloudflare.com/ajax/libs/smoothscroll/1.4.9/SmoothScroll.min.js	D:/Desktop/Dela%20Divine/cdnjs.cloudflare.com/ajax/libs/smoothscroll/1.4.9/SmoothScroll.min.js	(from https://www.warpedcigars.com/)
12:16:31	235/235	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:30%20GMT	http://www.warpedcigars.com/js/modernizr-custom.js	D:/Desktop/Dela%20Divine/www.warpedcigars.com/js/modernizr-custom.28.delayed	(from https://www.warpedcigars.com/)
12:16:32	3401/3401	---M--	200	added ('OK')	application/javascript	etag:%22d49-5945293fb0ad4%22	https://www.warpedcigars.com/js/modernizr-custom.js	D:/Desktop/Dela%20Divine/www.warpedcigars.com/js/modernizr-custom.js	(from https://www.warpedcigars.com/)
12:16:32	228/228	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:31%20GMT	http://www.warpedcigars.com/js/global.js?v5	D:/Desktop/Dela%20Divine/www.warpedcigars.com/js/global.2a4b6d.delayed	(from https://www.warpedcigars.com/)
12:16:33	223/223	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:32%20GMT	http://www.warpedcigars.com/js/home.js	D:/Desktop/Dela%20Divine/www.warpedcigars.com/js/home.js	(from https://www.warpedcigars.com/)
12:16:33	20847/20847	---M--	200	added ('OK')	application/javascript	etag:%22516f-594550c3236b1%22	https://www.warpedcigars.com/js/global.js?v5	D:/Desktop/Dela%20Divine/www.warpedcigars.com/js/global4b6d.js	(from https://www.warpedcigars.com/)
12:16:34	9203/9203	---M--	200	added ('OK')	application/javascript	etag:%2223f3-5945295b720c4%22	https://www.warpedcigars.com/js/home.js	D:/Desktop/Dela%20Divine/www.warpedcigars.com/js/home.js	(from https://www.warpedcigars.com/)
12:16:34	230/230	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:33%20GMT	http://www.warpedcigars.com/service-worker.js	D:/Desktop/Dela%20Divine/www.warpedcigars.com/service-worker.js	(from https://www.warpedcigars.com/)
